[00:00:10.217] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_18, Total msg: 300
[00:00:10.217] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_18, Total msg: 300
[00:00:10.217] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_18, Total msg: 300
[00:00:10.218] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_18, Total msg: 300
[00:00:10.218] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_18, Total msg: 300
[00:00:10.218] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_18, Total msg: 300
[00:00:10.218] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_18, Total msg: 300
[00:00:10.218] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_18, Total msg: 300
[00:00:10.218] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_18, Total msg: 300
[00:00:10.228] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_19, Total msg: 300
[00:00:10.228] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_19, Total msg: 300
[00:00:10.229] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_19, Total msg: 300
[00:00:10.229] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_19, Total msg: 300
[00:00:10.229] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_19, Total msg: 300
[00:00:10.229] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_19, Total msg: 300
[00:00:10.229] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_19, Total msg: 300
[00:00:10.229] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_19, Total msg: 300
[00:00:10.229] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_19, Total msg: 300
[00:00:10.229] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_19, Total msg: 300
[00:00:10.239] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_20, Total msg: 300
[00:00:10.240] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_20, Total msg: 300
[00:00:10.240] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_20, Total msg: 300
[00:00:10.240] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_20, Total msg: 300
[00:00:10.240] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_20, Total msg: 300
[00:00:10.240] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_20, Total msg: 300
[00:00:10.240] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_20, Total msg: 300
[00:00:10.240] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_20, Total msg: 300
[00:00:10.240] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_20, Total msg: 300
[00:00:10.240] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_20, Total msg: 300
[00:00:10.251] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_21, Total msg: 300
[00:00:10.251] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_21, Total msg: 300
